"segmento","codigo_bovespa","nome_acao","nome_tipo_acao","percentual_participacao_acao","percentual_participacao_acumulada","quantidade_teorica","ano","mes","dia","data_pregao"
"Financ e Outros / Explor Imóveis","MULT3","MULTIPLAN","ON      N2","0.385","1.086","314311970.00","2025","07","22","2025-07-22"
"Financ e Outros / Holdings Divers","ITSA4","ITAUSA","PN      N1","2.986","2.986","5856697902.00","2025","07","22","2025-07-22"
"Financ e Outros / Interms Financs","BBDC3","BRADESCO","ON      N1","0.956","18.627","1469064981.00","2025","07","22","2025-07-22"
"Financ e Outros / Interms Financs","BBDC4","BRADESCO","PN      N1","3.870","18.627","5111682020.00","2025","07","22","2025-07-22"
"Financ e Outros / Interms Financs","BBAS3","BRASIL","ON      NM","2.726","18.627","2842613858.00","2025","07","22","2025-07-22"
"Financ e Outros / Interms Financs","BPAC11","BTGP BANCO","UNT     N2","2.474","18.627","1287247964.00","2025","07","22","2025-07-22"
"Financ e Outros / Interms Financs","ITUB4","ITAUUNIBANCO","PN      N1","8.149","18.627","4757320048.00","2025","07","22","2025-07-22"
"Financ e Outros / Interms Financs","SANB11","SANTANDER BR","UNT EJ","0.452","18.627","356586730.00","2025","07","22","2025-07-22"
"Financ e Outros / Previd  Seguros","BBSE3","BBSEGURIDADE","ON      NM","1.061","2.098","637332335.00","2025","07","22","2025-07-22"
"Financ e Outros / Previd  Seguros","CXSE3","CAIXA SEGURI","ON      NM","0.404","2.098","600000000.00","2025","07","22","2025-07-22"
"Financ e Outros / Previd  Seguros","IRBR3","IRBBRASIL RE","ON      NM","0.174","2.098","81838243.00","2025","07","22","2025-07-22"
"Financ e Outros / Previd  Seguros","PSSA3","PORTO SEGURO","ON      NM","0.459","2.098","182560698.00","2025","07","22","2025-07-22"
"Financeiro e Outros/Serviços Financeiros Diversos","B3SA3","B3","ON      NM","3.289","3.289","5200055464.00","2025","07","22","2025-07-22"
"Mats Básicos / Madeira e Papel","KLBN11","KLABIN S/A","UNT     N2","0.693","2.246","765785673.00","2025","07","22","2025-07-22"
"Mats Básicos / Madeira e Papel","SUZB3","SUZANO S.A.","ON  ATZ NM","1.553","2.246","630821784.00","2025","07","22","2025-07-22"
"Mats Básicos / Mineração","BRAP4","BRADESPAR","PN      N1","0.201","12.178","250982988.00","2025","07","22","2025-07-22"
"Mats Básicos / Mineração","CMIN3","CSNMINERACAO","ON      N2","0.420","12.178","1646519336.00","2025","07","22","2025-07-22"
"Mats Básicos / Mineração","VALE3","VALE","ON      NM","11.557","12.178","4270903023.00","2025","07","22","2025-07-22"
"Mats Básicos / Químicos","BRKM5","BRASKEM","PNA     N1","0.108","0.108","265388400.00","2025","07","22","2025-07-22"
"Mats Básicos / Sid Metalurgia","GGBR4","GERDAU","PN      N1","1.050","1.711","1308152318.00","2025","07","22","2025-07-22"
"Mats Básicos / Sid Metalurgia","GOAU4","GERDAU MET","PN      N1","0.280","1.711","623866944.00","2025","07","22","2025-07-22"
