"segmento","codigo_bovespa","nome_acao","nome_tipo_acao","percentual_participacao_acao","percentual_participacao_acumulada","quantidade_teorica","ano","mes","dia","data_pregao"
"Financ e Outros / Explor Imóveis","MULT3","MULTIPLAN","ON      N2","0.387","1.081","314311970.00","2025","07","24","2025-07-24"
"Financ e Outros / Holdings Divers","ITSA4","ITAUSA","PN      N1","2.954","2.954","5856697902.00","2025","07","24","2025-07-24"
"Financ e Outros / Interms Financs","BBDC3","BRADESCO","ON      N1","0.958","18.590","1469064981.00","2025","07","24","2025-07-24"
"Financ e Outros / Interms Financs","BBDC4","BRADESCO","PN      N1","3.885","18.590","5111682020.00","2025","07","24","2025-07-24"
"Financ e Outros / Interms Financs","BBAS3","BRASIL","ON      NM","2.749","18.590","2842613858.00","2025","07","24","2025-07-24"
"Financ e Outros / Interms Financs","BPAC11","BTGP BANCO","UNT     N2","2.488","18.590","1287247964.00","2025","07","24","2025-07-24"
"Financ e Outros / Interms Financs","ITUB4","ITAUUNIBANCO","PN      N1","8.057","18.590","4757320048.00","2025","07","24","2025-07-24"
"Financ e Outros / Interms Financs","SANB11","SANTANDER BR","UNT EJ","0.453","18.590","356586730.00","2025","07","24","2025-07-24"
"Financ e Outros / Previd  Seguros","BBSE3","BBSEGURIDADE","ON      NM","1.030","2.054","637332335.00","2025","07","24","2025-07-24"
"Financ e Outros / Previd  Seguros","CXSE3","CAIXA SEGURI","ON      NM","0.394","2.054","600000000.00","2025","07","24","2025-07-24"
"Financ e Outros / Previd  Seguros","IRBR3","IRBBRASIL RE","ON      NM","0.175","2.054","81838243.00","2025","07","24","2025-07-24"
"Financ e Outros / Previd  Seguros","PSSA3","PORTO SEGURO","ON      NM","0.455","2.054","182560698.00","2025","07","24","2025-07-24"
"Financeiro e Outros/Serviços Financeiros Diversos","B3SA3","B3","ON      NM","3.332","3.332","5200055464.00","2025","07","24","2025-07-24"
"Mats Básicos / Madeira e Papel","KLBN11","KLABIN S/A","UNT     N2","0.685","2.247","765785673.00","2025","07","24","2025-07-24"
"Mats Básicos / Madeira e Papel","SUZB3","SUZANO S.A.","ON      NM","1.562","2.247","630821784.00","2025","07","24","2025-07-24"
"Mats Básicos / Mineração","BRAP4","BRADESPAR","PN      N1","0.204","12.363","250982988.00","2025","07","24","2025-07-24"
"Mats Básicos / Mineração","CMIN3","CSNMINERACAO","ON      N2","0.423","12.363","1646519336.00","2025","07","24","2025-07-24"
"Mats Básicos / Mineração","VALE3","VALE","ON      NM","11.736","12.363","4270903023.00","2025","07","24","2025-07-24"
"Mats Básicos / Químicos","BRKM5","BRASKEM","PNA     N1","0.114","0.114","265388400.00","2025","07","24","2025-07-24"
"Mats Básicos / Sid Metalurgia","GGBR4","GERDAU","PN      N1","1.078","1.778","1308152318.00","2025","07","24","2025-07-24"
"Mats Básicos / Sid Metalurgia","GOAU4","GERDAU MET","PN      N1","0.287","1.778","623866944.00","2025","07","24","2025-07-24"
"Mats Básicos / Sid Metalurgia","CSNA3","SID NACIONAL","ON","0.305","1.778","727459637.00","2025","07","24","2025-07-24"
"Mats Básicos / Sid Metalurgia","USIM5","USIMINAS","PNA     N1","0.108","1.778","515193199.00","2025","07","24","2025-07-24"
"Petróleo, Gás e Biocombustíveis","BRAV3","BRAVA","ON      NM","0.414","15.971","451311960.00","2025","07","24","2025-07-24"
"Petróleo, Gás e Biocombustíveis","CSAN3","COSAN","ON      NM","0.326","15.971","1160227510.00","2025","07","24","2025-07-24"
"Petróleo, Gás e Biocombustíveis","PETR3","PETROBRAS","ON      N2","4.702","15.971","2820420899.00","2025","07","24","2025-07-24"
"Petróleo, Gás e Biocombustíveis","PETR4","PETROBRAS","PN      N2","6.753","15.971","4410955873.00","2025","07","24","2025-07-24"
"Petróleo, Gás e Biocombustíveis","RECV3","PETRORECSA","ON      NM","0.178","15.971","274981010.00","2025","07","24","2025-07-24"
"Petróleo, Gás e Biocombustíveis","PRIO3","PETRORIO","ON      NM","1.585","15.971","779999989.00","2025","07","24","2025-07-24"
"Petróleo, Gás e Biocombustíveis","RAIZ4","RAIZEN","PN      N2","0.089","15.971","1210756333.00","2025","07","24","2025-07-24"
"Petróleo, Gás e Biocombustíveis","UGPA3","ULTRAPAR","ON      NM","0.847","15.971","1089082981.00","2025","07","24","2025-07-24"
"Petróleo, Gás e Biocombustíveis","VBBR3","VIBRA","ON      NM","1.077","15.971","1113939036.00","2025","07","24","2025-07-24"
"Saúde/Comércio Distr.","HYPE3","HYPERA","ON      NM","0.456","1.336","360057207.00","2025","07","24","2025-07-24"
"Saúde/Comércio Distr.","RADL3","RAIADROGASIL","ON      NM","0.880","1.336","1297567800.00","2025","07","24","2025-07-24"
"Saúde/SM Hosp An.Diag","FLRY3","FLEURY","ON      NM","0.317","2.605","455988366.00","2025","07","24","2025-07-24"
"Saúde/SM Hosp An.Diag","HAPV3","HAPVIDA","ON      NM","0.474","2.605","311217208.00","2025","07","24","2025-07-24"
"Saúde/SM Hosp An.Diag","RDOR3","REDE D OR","ON      NM","1.814","2.605","1145289019.00","2025","07","24","2025-07-24"
"Tec.Informação/Programas Servs","TOTS3","TOTVS","ON      NM","1.090","1.090","531531039.00","2025","07","24","2025-07-24"
"Telecomunicação","VIVT3","TELEF BRASIL","ON","1.124","1.896","764884256.00","2025","07","24","2025-07-24"
"Telecomunicação","TIMS3","TIM","ON      NM","0.772","1.896","806346600.00","2025","07","24","2025-07-24"
"Utilidade Públ / Água Saneamento","SBSP3","SABESP","ON      NM","3.629","3.629","683495706.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","AURE3","AUREN","ON      NM","0.151","11.643","323738747.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","CMIG4","CEMIG","PN      N1","0.941","11.643","1858636840.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","CPLE6","COPEL","PNB     N2","0.951","11.643","1671982390.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","CPFE3","CPFL ENERGIA","ON      NM","0.346","11.643","187732538.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","ELET3","ELETROBRAS","ON      N1","3.356","11.643","1808652474.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","ELET6","ELETROBRAS","PNB     N1","0.547","11.643","268875696.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","ENGI11","ENERGISA","UNT     N2","0.718","11.643","326175300.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","ENEV3","ENEVA","ON      NM","1.277","11.643","1907494195.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","EGIE3","ENGIE BRASIL","ON      NM","0.519","11.643","255236938.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","EQTL3","EQUATORIAL","ON      NM","2.060","11.643","1244304866.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","ISAE4","ISA ENERGIA","PN      N1","0.425","11.643","395801044.00","2025","07","24","2025-07-24"
"Utilidade Públ / Energ Elétrica","TAEE11","TAESA","UNT     N2","0.352","11.643","218568234.00","2025","07","24","2025-07-24"
"Bens Indls / Máqs e Equips","WEGE3","WEG","ON      NM","3.050","3.050","1482105837.00","2025","07","19","2025-07-19"
"Bens Indls / Mat Transporte","EMBR3","EMBRAER","ON      NM","2.437","2.701","734631701.00","2025","07","19","2025-07-19"
"Bens Indls / Mat Transporte","POMO4","MARCOPOLO","PN      N2","0.264","2.701","666378439.00","2025","07","19","2025-07-19"
"Bens Indls/Transporte","MOTV3","MOTIVA SA","ON      NM","0.605","1.861","991920937.00","2025","07","19","2025-07-19"
"Bens Indls/Transporte","RAIL3","RUMO S.A.","ON      NM","0.980","1.861","1216914397.00","2025","07","19","2025-07-19"
"Bens Indls/Transporte","STBP3","SANTOS BRP","ON      NM","0.276","1.861","409543219.00","2025","07","19","2025-07-19"
"Cons N  Básico / Alimentos Processados","BRFS3","BRF SA","ON      NM","0.824","1.304","832617717.00","2025","07","19","2025-07-19"
"Cons N  Básico / Alimentos Processados","MRFG3","MARFRIG","ON      NM","0.261","1.304","237618211.00","2025","07","19","2025-07-19"
"Cons N  Básico / Alimentos Processados","BEEF3","MINERVA","ON      NM","0.108","1.304","433214256.00","2025","07","19","2025-07-19"
"Cons N  Básico / Alimentos Processados","SMTO3","SAO MARTINHO","ON      NM","0.111","1.304","128130966.00","2025","07","19","2025-07-19"
"Cons N Cíclico / Bebidas","ABEV3","AMBEV S/A","ON","2.843","2.843","4394835131.00","2025","07","19","2025-07-19"
"Cons N Cíclico / Comércio Distr.","ASAI3","ASSAI","ON      NM","0.635","0.716","1345897506.00","2025","07","19","2025-07-19"
"Cons N Cíclico / Comércio Distr.","PCAR3","P.ACUCAR-CBD","ON      NM","0.081","0.716","461260303.00","2025","07","19","2025-07-19"
"Cons N Cíclico / Pr Pessoal Limp","NATU3","NATURA","ON      NM","0.391","0.391","845713747.00","2025","07","19","2025-07-19"
"Cons N Ciclico/Agropecuária","SLCE3","SLC AGRICOLA","ON      NM","0.172","0.172","194261422.00","2025","07","19","2025-07-19"
"Consumo Cíclico / Comércio","AZZA3","AZZAS 2154","ON      NM","0.237","1.316","136643320.00","2025","07","19","2025-07-19"
"Consumo Cíclico / Comércio","LREN3","LOJAS RENNER","ON      NM","0.887","1.316","1030587204.00","2025","07","19","2025-07-19"
"Consumo Cíclico / Comércio","MGLU3","MAGAZ LUIZA","ON      NM","0.135","1.316","353448195.00","2025","07","19","2025-07-19"
"Consumo Cíclico / Comércio","PETZ3","PETZ","ON  ATZ NM","0.057","1.316","295519280.00","2025","07","19","2025-07-19"
"Consumo Cíclico / Tecid Vest Calç","VIVA3","VIVARA S.A.","ON      NM","0.153","0.153","123160591.00","2025","07","19","2025-07-19"
"Consumo Cíclico/Constr Civil","CYRE3","CYRELA REALT","ON      NM","0.332","0.653","257174951.00","2025","07","19","2025-07-19"
"Consumo Cíclico/Constr Civil","DIRR3","DIRECIONAL","ON      NM","0.212","0.653","108541907.00","2025","07","19","2025-07-19"
"Consumo Cíclico/Constr Civil","MRVE3","MRV","ON      NM","0.109","0.653","375507695.00","2025","07","19","2025-07-19"
"Consumo Cíclico/Viagens e Lazer","CVCB3","CVC BRASIL","ON      NM","0.052","0.402","450926127.00","2025","07","19","2025-07-19"
"Consumo Cíclico/Viagens e Lazer","SMFT3","SMART FIT","ON      NM","0.350","0.402","328547988.00","2025","07","19","2025-07-19"
"Diversos","COGN3","COGNA ON","ON      NM","0.236","2.157","1872454628.00","2025","07","19","2025-07-19"
"Diversos","RENT3","LOCALIZA","ON      NM","1.663","2.157","956264719.00","2025","07","19","2025-07-19"
"Diversos","VAMO3","VAMOS","ON      NM","0.090","2.157","485166826.00","2025","07","19","2025-07-19"
"Diversos","YDUQ3","YDUQS PART","ON      NM","0.168","2.157","260249057.00","2025","07","19","2025-07-19"
"Financ e Outros / Explor Imóveis","ALOS3","ALLOS","ON      NM","0.502","1.092","476976044.00","2025","07","19","2025-07-19"
"Financ e Outros / Explor Imóveis","IGTI11","IGUATEMI S.A","UNT     N1","0.205","1.092","198474750.00","2025","07","19","2025-07-19"
"Financ e Outros / Explor Imóveis","MULT3","MULTIPLAN","ON      N2","0.385","1.092","314311970.00","2025","07","19","2025-07-19"
"Financ e Outros / Holdings Divers","ITSA4","ITAUSA","PN      N1","2.972","2.972","5856697902.00","2025","07","19","2025-07-19"
"Financ e Outros / Interms Financs","BBDC3","BRADESCO","ON      N1","0.960","18.727","1469064981.00","2025","07","19","2025-07-19"
"Financ e Outros / Interms Financs","BBDC4","BRADESCO","PN      N1","3.890","18.727","5111682020.00","2025","07","19","2025-07-19"
"Financ e Outros / Interms Financs","BBAS3","BRASIL","ON      NM","2.797","18.727","2842613858.00","2025","07","19","2025-07-19"
"Financ e Outros / Interms Financs","BPAC11","BTGP BANCO","UNT     N2","2.521","18.727","1287247964.00","2025","07","19","2025-07-19"
"Financ e Outros / Interms Financs","ITUB4","ITAUUNIBANCO","PN      N1","8.103","18.727","4757320048.00","2025","07","19","2025-07-19"
"Financ e Outros / Interms Financs","SANB11","SANTANDER BR","UNT EJ","0.456","18.727","356586730.00","2025","07","19","2025-07-19"
"Financ e Outros / Previd  Seguros","BBSE3","BBSEGURIDADE","ON      NM","1.062","2.104","637332335.00","2025","07","19","2025-07-19"
"Financ e Outros / Previd  Seguros","CXSE3","CAIXA SEGURI","ON      NM","0.407","2.104","600000000.00","2025","07","19","2025-07-19"
"Financ e Outros / Previd  Seguros","IRBR3","IRBBRASIL RE","ON      NM","0.176","2.104","81838243.00","2025","07","19","2025-07-19"
"Financ e Outros / Previd  Seguros","PSSA3","PORTO SEGURO","ON      NM","0.459","2.104","182560698.00","2025","07","19","2025-07-19"
"Financeiro e Outros/Serviços Financeiros Diversos","B3SA3","B3","ON      NM","3.276","3.276","5200055464.00","2025","07","19","2025-07-19"
"Mats Básicos / Madeira e Papel","KLBN11","KLABIN S/A","UNT     N2","0.698","2.249","765785673.00","2025","07","19","2025-07-19"
"Mats Básicos / Madeira e Papel","SUZB3","SUZANO S.A.","ON  ATZ NM","1.551","2.249","630821784.00","2025","07","19","2025-07-19"
"Mats Básicos / Mineração","BRAP4","BRADESPAR","PN      N1","0.197","11.917","250982988.00","2025","07","19","2025-07-19"
"Mats Básicos / Mineração","CMIN3","CSNMINERACAO","ON      N2","0.403","11.917","1646519336.00","2025","07","19","2025-07-19"
"Mats Básicos / Mineração","VALE3","VALE","ON      NM","11.317","11.917","4270903023.00","2025","07","19","2025-07-19"
"Mats Básicos / Químicos","BRKM5","BRASKEM","PNA     N1","0.107","0.107","265388400.00","2025","07","19","2025-07-19"
"Mats Básicos / Sid Metalurgia","GGBR4","GERDAU","PN      N1","1.023","1.670","1308152318.00","2025","07","19","2025-07-19"
"Mats Básicos / Sid Metalurgia","GOAU4","GERDAU MET","PN      N1","0.273","1.670","623866944.00","2025","07","19","2025-07-19"
"Mats Básicos / Sid Metalurgia","CSNA3","SID NACIONAL","ON","0.276","1.670","727459637.00","2025","07","19","2025-07-19"
"Mats Básicos / Sid Metalurgia","USIM5","USIMINAS","PNA     N1","0.098","1.670","515193199.00","2025","07","19","2025-07-19"
"Petróleo, Gás e Biocombustíveis","BRAV3","BRAVA","ON  ATZ NM","0.411","15.830","451311960.00","2025","07","19","2025-07-19"
"Petróleo, Gás e Biocombustíveis","CSAN3","COSAN","ON      NM","0.336","15.830","1160227510.00","2025","07","19","2025-07-19"
"Petróleo, Gás e Biocombustíveis","PETR3","PETROBRAS","ON      N2","4.608","15.830","2820420899.00","2025","07","19","2025-07-19"
"Petróleo, Gás e Biocombustíveis","PETR4","PETROBRAS","PN      N2","6.638","15.830","4410955873.00","2025","07","19","2025-07-19"
"Petróleo, Gás e Biocombustíveis","RECV3","PETRORECSA","ON      NM","0.183","15.830","274981010.00","2025","07","19","2025-07-19"
"Petróleo, Gás e Biocombustíveis","PRIO3","PETRORIO","ON      NM","1.640","15.830","779999989.00","2025","07","19","2025-07-19"
"Petróleo, Gás e Biocombustíveis","RAIZ4","RAIZEN","PN      N2","0.089","15.830","1210756333.00","2025","07","19","2025-07-19"
"Petróleo, Gás e Biocombustíveis","UGPA3","ULTRAPAR","ON      NM","0.830","15.830","1089082981.00","2025","07","19","2025-07-19"
"Petróleo, Gás e Biocombustíveis","VBBR3","VIBRA","ON      NM","1.095","15.830","1113939036.00","2025","07","19","2025-07-19"
"Saúde/Comércio Distr.","HYPE3","HYPERA","ON      NM","0.462","1.315","360057207.00","2025","07","19","2025-07-19"
"Saúde/Comércio Distr.","RADL3","RAIADROGASIL","ON      NM","0.853","1.315","1297567800.00","2025","07","19","2025-07-19"
"Saúde/SM Hosp An.Diag","FLRY3","FLEURY","ON      NM","0.280","2.596","455988366.00","2025","07","19","2025-07-19"
"Saúde/SM Hosp An.Diag","HAPV3","HAPVIDA","ON      NM","0.487","2.596","311217208.00","2025","07","19","2025-07-19"
"Saúde/SM Hosp An.Diag","RDOR3","REDE D OR","ON      NM","1.829","2.596","1145289019.00","2025","07","19","2025-07-19"
"Tec.Informação/Programas Servs","TOTS3","TOTVS","ON      NM","1.076","1.076","531531039.00","2025","07","19","2025-07-19"
"Telecomunicação","VIVT3","TELEF BRASIL","ON","1.150","1.948","764884256.00","2025","07","19","2025-07-19"
"Telecomunicação","TIMS3","TIM","ON      NM","0.798","1.948","806346600.00","2025","07","19","2025-07-19"
"Utilidade Públ / Água Saneamento","SBSP3","SABESP","ON      NM","3.674","3.674","683495706.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","AURE3","AUREN","ON      NM","0.141","11.728","323738747.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","CMIG4","CEMIG","PN      N1","0.937","11.728","1858636840.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","CPLE6","COPEL","PNB     N2","0.965","11.728","1671982390.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","CPFE3","CPFL ENERGIA","ON      NM","0.348","11.728","187732538.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","ELET3","ELETROBRAS","ON      N1","3.422","11.728","1808652474.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","ELET6","ELETROBRAS","PNB     N1","0.555","11.728","268875696.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","ENGI11","ENERGISA","UNT     N2","0.718","11.728","326175300.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","ENEV3","ENEVA","ON      NM","1.268","11.728","1907494195.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","EGIE3","ENGIE BRASIL","ON      NM","0.517","11.728","255236938.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","EQTL3","EQUATORIAL","ON      NM","2.068","11.728","1244304866.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","ISAE4","ISA ENERGIA","PN      N1","0.431","11.728","395801044.00","2025","07","19","2025-07-19"
"Utilidade Públ / Energ Elétrica","TAEE11","TAESA","UNT     N2","0.358","11.728","218568234.00","2025","07","19","2025-07-19"
